QueryID	Q0	DocID	Rank	Score	RunID
test	Q0	889253	1	122.0	runtest
test	Q0	889216	2	110.0	runtest
test	Q0	889210	3	110.0	runtest
test	Q0	889239	4	108.0	runtest
test	Q0	889230	5	108.0	runtest
test	Q0	889229	6	108.0	runtest
test	Q0	889223	7	108.0	runtest
test	Q0	889221	8	108.0	runtest
test	Q0	889217	9	108.0	runtest
test	Q0	889213	10	108.0	runtest
test	Q0	889209	11	108.0	runtest
test	Q0	889205	12	108.0	runtest
test	Q0	889201	13	108.0	runtest
test	Q0	889194	14	108.0	runtest
test	Q0	889188	15	108.0	runtest
test	Q0	853949	16	108.0	runtest
test	Q0	313798	17	108.0	runtest
test	Q0	159469	18	108.0	runtest
test	Q0	32984	19	108.0	runtest
test	Q0	889248	20	107.0	runtest
test	Q0	889240	21	94.0	runtest
test	Q0	889234	22	94.0	runtest
test	Q0	90597	23	85.0	runtest
test	Q0	181243	24	76.0	runtest
test	Q0	623454	25	74.0	runtest
test	Q0	280911	26	68.0	runtest
test	Q0	889219	27	66.0	runtest
test	Q0	394843	28	66.0	runtest
test	Q0	231387	29	62.0	runtest
test	Q0	227716	30	62.0	runtest
test	Q0	152305	31	62.0	runtest
test	Q0	889250	32	61.0	runtest
test	Q0	889199	33	61.0	runtest
test	Q0	889183	34	61.0	runtest
test	Q0	363489	35	61.0	runtest
test	Q0	60361	36	59.0	runtest
test	Q0	889197	37	57.0	runtest
test	Q0	632231	38	57.0	runtest
test	Q0	595589	39	57.0	runtest
test	Q0	889242	40	56.0	runtest
test	Q0	889193	41	56.0	runtest
test	Q0	631349	42	56.0	runtest
test	Q0	889190	43	53.0	runtest
test	Q0	889182	44	52.0	runtest
test	Q0	889238	45	51.0	runtest
test	Q0	889235	46	51.0	runtest
test	Q0	889228	47	51.0	runtest
test	Q0	889224	48	51.0	runtest
test	Q0	889206	49	51.0	runtest
test	Q0	889185	50	51.0	runtest
test	Q0	667	51	50.0	runtest
test	Q0	889246	52	49.0	runtest
test	Q0	620977	53	49.0	runtest
test	Q0	889227	54	46.0	runtest
test	Q0	39806	55	43.0	runtest
test	Q0	889214	56	42.0	runtest
test	Q0	889192	57	42.0	runtest
test	Q0	886738	58	42.0	runtest
test	Q0	882067	59	42.0	runtest
test	Q0	889204	60	41.0	runtest
test	Q0	702192	61	41.0	runtest
test	Q0	97312	62	41.0	runtest
test	Q0	39805	63	41.0	runtest
test	Q0	117792	64	40.0	runtest
test	Q0	43471	65	39.0	runtest
test	Q0	131524	66	38.0	runtest
test	Q0	97373	67	38.0	runtest
test	Q0	709198	68	37.0	runtest
test	Q0	439675	69	37.0	runtest
test	Q0	22981	70	37.0	runtest
test	Q0	411172	71	36.0	runtest
test	Q0	371613	72	36.0	runtest
test	Q0	275066	73	36.0	runtest
test	Q0	464652	74	35.0	runtest
test	Q0	889208	75	34.0	runtest
test	Q0	889202	76	34.0	runtest
test	Q0	889187	77	34.0	runtest
test	Q0	737104	78	34.0	runtest
test	Q0	889232	79	33.0	runtest
test	Q0	140032	80	33.0	runtest
test	Q0	889244	81	32.0	runtest
test	Q0	889211	82	32.0	runtest
test	Q0	317475	83	32.0	runtest
test	Q0	20820	84	32.0	runtest
test	Q0	889237	85	31.0	runtest
test	Q0	552676	86	30.0	runtest
test	Q0	467936	87	30.0	runtest
test	Q0	716232	88	29.0	runtest
test	Q0	97394	89	29.0	runtest
test	Q0	889249	90	28.0	runtest
test	Q0	721996	91	28.0	runtest
test	Q0	588322	92	28.0	runtest
test	Q0	274556	93	28.0	runtest
test	Q0	146335	94	28.0	runtest
test	Q0	70693	95	28.0	runtest
test	Q0	44868	96	28.0	runtest
test	Q0	304696	97	27.0	runtest
test	Q0	245021	98	27.0	runtest
test	Q0	50260	99	27.0	runtest
test	Q0	143576	100	26.0	runtest
test	Q0	863327	101	25.0	runtest
test	Q0	575498	102	25.0	runtest
test	Q0	470551	103	25.0	runtest
test	Q0	426661	104	25.0	runtest
test	Q0	254135	105	25.0	runtest
test	Q0	889236	106	23.0	runtest
test	Q0	889212	107	23.0	runtest
test	Q0	258626	108	23.0	runtest
test	Q0	216933	109	23.0	runtest
test	Q0	659949	110	22.0	runtest
test	Q0	57183	111	22.0	runtest
test	Q0	57182	112	22.0	runtest
test	Q0	889233	113	21.0	runtest
test	Q0	889231	114	21.0	runtest
test	Q0	889215	115	21.0	runtest
test	Q0	853877	116	21.0	runtest
test	Q0	690105	117	21.0	runtest
test	Q0	670197	118	21.0	runtest
test	Q0	650114	119	21.0	runtest
test	Q0	626199	120	21.0	runtest
test	Q0	512110	121	21.0	runtest
test	Q0	334293	122	21.0	runtest
test	Q0	889225	123	20.0	runtest
test	Q0	111016	124	20.0	runtest
test	Q0	877191	125	19.0	runtest
test	Q0	873580	126	19.0	runtest
test	Q0	517183	127	19.0	runtest
test	Q0	126783	128	19.0	runtest
